´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-10,N/A,13.46,14.69,13.46,14.69,5200,75773,N/A,N/A,14.5717,0.0252,303642300,N/A,1214422300,20670000,0,82670000,29.9946,4.6936,3.1013,1087.5143,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-11,14.69,16.16,16.16,16.16,16.16,1000,16160,1.47,10.0068,16.16,0.0048,334027200,N/A,1335947200,20670000,0,82670000,32.9961,5.1632,3.4116,1196.3397,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-12,16.16,17.78,17.78,17.78,17.78,2000,35560,1.62,10.0248,17.78,0.0097,367512600,N/A,1469872600,20670000,0,82670000,36.3039,5.6809,3.7536,1316.2698,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-15,17.78,19.56,19.56,19.56,19.56,1800,35208,1.78,10.0112,19.56,0.0087,404305200,N/A,1617025200,20670000,0,82670000,39.9384,6.2496,4.1294,1448.0449,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-16,19.56,21.52,21.52,21.52,21.52,4800,103296,1.96,10.0204,21.52,0.0232,444818400,N/A,1779058400,20670000,0,82670000,43.9404,6.8758,4.5432,1593.1455,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-17,21.52,23.67,23.67,23.67,23.67,26638,630521.5,2.15,9.9907,23.67,0.1289,489258900,N/A,1956798900,20670000,0,82670000,48.3304,7.5628,4.997,1752.312,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-18,23.67,26.04,26.04,26.04,26.04,6000,156240,2.37,10.0127,26.04,0.029,538246800,N/A,2152726800,20670000,0,82670000,53.1695,8.32,5.4974,1927.7653,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-19,26.04,28.64,28.64,28.64,28.64,43938,1258384.3,2.6,9.9846,28.64,0.2126,591988800,N/A,2367668800,20670000,0,82670000,58.4783,9.1507,6.0463,2120.2456,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-23,28.64,31.5,31.5,31.5,31.5,11800,371700,2.86,9.986,31.5,0.0571,651105000,N/A,2604105000,20670000,0,82670000,64.318,10.0645,6.6501,2331.9741,
300464.SZ,ÐÇ»Õ¾«ÃÜ,2015-06-24,31.5,34.65,34.65,34.65,34.65,4500,155925,3.15,10,34.65,0.0218,716215500,N/A,2864515500,20670000,0,82670000,70.7498,11.071,7.3151,2565.1714,
