´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
000553.SZ,É³Â¡´ïA,1993-12-03,N/A,2.1384,2.1384,2.0169,2.029,6479000,55073000,N/A,N/A,8.5002,21.5967,250500000,N/A,876198065,30000000,0,104933900,54.1844,8.7904,4.4429,N/A,
000553.SZ,É³Â¡´ïA,1993-12-06,2.029,2.0047,2.1991,1.9683,2.1991,5431000,46084000,0.1701,8.3832,8.4854,18.1033,271500000,N/A,949651795,30000000,0,104933900,58.7268,9.5273,4.8154,N/A,
000553.SZ,É³Â¡´ïA,1993-12-07,2.1991,2.2356,2.2842,2.1384,2.1748,9545500,87174000,-0.0243,-1.105,9.1325,31.8183,268500000,N/A,939158405,30000000,0,104933900,58.0778,9.422,4.7622,N/A,
000553.SZ,É³Â¡´ïA,1993-12-08,2.1748,2.1991,2.2356,2.1141,2.1991,2592100,23225000,0.0243,1.1173,8.9599,8.6403,271500000,N/A,949651795,30000000,0,104933900,58.7268,9.5273,4.8154,N/A,
000553.SZ,É³Â¡´ïA,1993-12-09,2.1991,2.2234,2.2356,2.1505,2.1627,1315000,11839000,-0.0364,-1.6575,9.003,4.3833,267000000,N/A,933911710,30000000,0,104933900,57.7534,9.3694,4.7356,N/A,
000553.SZ,É³Â¡´ïA,1993-12-10,2.1627,2.1991,2.2477,2.1627,2.2234,3970500,36131000,0.0607,2.809,9.0999,13.235,274500000,N/A,960145185,30000000,0,104933900,59.3757,9.6325,4.8686,N/A,
000553.SZ,É³Â¡´ïA,1993-12-13,2.2234,2.2599,2.3085,1.9926,2.0898,4807900,43216000,-0.1336,-6.0109,8.9885,16.0263,258000000,N/A,902431540,30000000,0,104933900,55.8066,9.0535,4.5759,N/A,
000553.SZ,É³Â¡´ïA,1993-12-14,2.0898,2.1262,2.2113,2.0898,2.1141,1531800,13416000,0.0243,1.1628,8.7583,5.106,261000000,N/A,912924930,30000000,0,104933900,56.4556,9.1588,4.6292,N/A,
000553.SZ,É³Â¡´ïA,1993-12-15,2.1141,2.1141,2.1505,2.0655,2.1384,837400,7231000,0.0243,1.1494,8.6351,2.7913,264000000,N/A,923418320,30000000,0,104933900,57.1045,9.2641,4.6824,N/A,
000553.SZ,É³Â¡´ïA,1993-12-16,2.1384,2.1627,2.1627,2.0412,2.0655,884000,7629000,-0.0729,-3.4091,8.6301,2.9467,255000000,N/A,891938150,30000000,0,104933900,55.1577,8.9483,4.5227,N/A,
000553.SZ,É³Â¡´ïA,1993-12-17,2.0655,2.0655,2.1019,2.0412,2.0533,597100,5080000,-0.0121,-0.5882,8.5078,1.9903,253500000,N/A,886691455,30000000,0,104933900,54.8333,8.8956,4.4961,N/A,
