¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
300003.SZ,¿÷∆’“Ω¡∆,2009-10-30,N/A,28.9118,40.7609,26.542,30.0493,28810180,1867586366.1,N/A,N/A,64.8238,87.8359,2079520000,N/A,25740400000,32800000,0,406000000,127.8276,51.0289,65.351,-1275.0757,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-02,30.0493,27.0444,28.817,27.0444,27.0444,10065454,580577982.8,-3.0049,-10,57.6803,30.6874,1871568000,N/A,23166360000,32800000,0,406000000,115.0449,45.926,58.8159,-1147.5681,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-03,27.0444,27.0301,27.343,25.7457,25.9779,5873190,327150846.2,-1.0664,-3.9432,55.7024,17.9061,1797768000,N/A,22252860000,32800000,0,406000000,110.5084,44.1151,56.4966,-1102.317,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-04,25.9779,26.305,26.9827,25.9827,26.4756,3774184,210819076.1,0.4977,1.9157,55.8582,11.5067,1832208000,N/A,22679160000,32800000,0,406000000,112.6254,44.9602,57.5789,-1123.4342,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-05,26.4756,26.4472,27.3524,25.831,26.8026,4874626,274297024.7,0.327,1.2352,56.2704,14.8617,1854840000,N/A,22959300000,32800000,0,406000000,114.0166,45.5156,58.2902,-1137.3113,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-06,26.8026,26.542,26.7695,25.7599,25.8452,3729623,205400284.8,-0.9574,-3.5721,55.0727,11.3708,1788584000,N/A,22139180000,32800000,0,406000000,109.9438,43.8897,56.208,-1096.6858,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-09,25.8452,25.594,25.831,24.8736,24.8831,3429114,181879794.3,-0.9621,-3.7227,53.0399,10.4546,1722000000,N/A,21315000000,32800000,0,406000000,105.8509,42.2558,54.1156,-1055.8593,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-10,24.8831,24.8878,25.1153,23.6982,23.7361,4088612,209741570.7,-1.147,-4.6095,51.299,12.4653,1642624000,N/A,20332480000,32800000,0,406000000,100.9717,40.308,51.6211,-1007.1891,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-11,23.7361,23.7456,23.8878,23.1105,23.5939,3299234,163349130.6,-0.1422,-0.599,49.5112,10.0586,1632784000,N/A,20210680000,32800000,0,406000000,100.3669,40.0666,51.3119,-1001.1557,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-12,23.5939,23.5512,24.0726,23.3095,23.8451,2378101,119262158.8,0.2512,1.0647,50.1502,7.2503,1650168000,N/A,20425860000,32800000,0,406000000,101.4354,40.4931,51.8582,-1011.8148,
300003.SZ,¿÷∆’“Ω¡∆,2009-11-13,23.8451,23.8309,25.5277,23.6508,25.1201,4665956,244910233.2,1.275,5.3468,52.4888,14.2255,1738400000,N/A,21518000000,32800000,0,406000000,106.8591,42.6583,54.6309,-1065.915,
