Date,Open,High,Low,Close,Adj Close,Volume
2016/11/2,778.200012,781.650024,763.450012,768.700012,768.700012,1872400
2016/11/3,767.25,769.950012,759.030029,762.130005,762.130005,1943200
2016/11/4,750.659973,770.359985,750.560974,762.02002,762.02002,2134800
2016/11/7,774.5,785.190002,772.549988,782.52002,782.52002,1585100
2016/11/8,783.400024,795.632996,780.190002,790.51001,790.51001,1350800
2016/11/9,779.940002,791.22699,771.669983,785.309998,785.309998,2607100
2016/11/10,791.169983,791.169983,752.179993,762.559998,762.559998,4745200
2016/11/11,756.539978,760.780029,750.380005,754.02002,754.02002,2431800
2016/11/14,755.599976,757.849976,727.539978,736.080017,736.080017,3631700
2016/11/15,746.969971,764.416016,746.969971,758.48999,758.48999,2384000
2016/11/16,755.200012,766.359985,750.51001,764.47998,764.47998,1465200
2016/11/17,766.919983,772.700012,764.22998,771.22998,771.22998,1304000
2016/11/18,771.369995,775,760,760.539978,760.539978,1547100
2016/11/21,762.609985,769.700012,760.599976,769.200012,769.200012,1330600
2016/11/22,772.630005,776.960022,767,768.27002,768.27002,1593100
2016/11/23,767.72998,768.28302,755.25,760.98999,760.98999,1477400
2016/11/25,764.26001,765,760.52002,761.679993,761.679993,587400
2016/11/28,760,779.530029,759.799988,768.23999,768.23999,2188200
2016/11/29,771.530029,778.5,768.23999,770.840027,770.840027,1616600
2016/11/30,770.070007,772.98999,754.830017,758.039978,758.039978,2392900
2016/12/1,757.440002,759.849976,737.025024,747.919983,747.919983,3017900
2016/12/2,744.590027,754,743.099976,750.5,750.5,1452500
2016/12/5,757.710022,763.900024,752.900024,762.52002,762.52002,1394200
2016/12/6,764.72998,768.830017,757.340027,759.109985,759.109985,1690700
2016/12/7,761,771.359985,755.799988,771.190002,771.190002,1761000
2016/12/8,772.47998,778.179993,767.22998,776.419983,776.419983,1488100
2016/12/9,780,789.429993,779.020996,789.289978,789.289978,1821900
2016/12/12,785.039978,791.25,784.35498,789.27002,789.27002,2104100
2016/12/13,793.900024,804.380005,793.340027,796.099976,796.099976,2145200
2016/12/14,797.400024,804,794.01001,797.070007,797.070007,1704200
2016/12/15,797.340027,803,792.919983,797.849976,797.849976,1626500
2016/12/16,800.400024,800.856018,790.289978,790.799988,790.799988,2428300
2016/12/19,790.219971,797.659973,786.27002,794.200012,794.200012,1232100
2016/12/20,796.76001,798.650024,793.27002,796.419983,796.419983,951000
2016/12/21,795.840027,796.676025,787.099976,794.559998,794.559998,1211300
2016/12/22,792.359985,793.320007,788.580017,791.26001,791.26001,972200
2016/12/23,790.900024,792.73999,787.280029,789.909973,789.909973,623400
2016/12/27,790.679993,797.859985,787.656982,791.549988,791.549988,789100
2016/12/28,793.700012,794.22998,783.200012,785.049988,785.049988,1153800
2016/12/29,783.330017,785.929993,778.919983,782.789978,782.789978,742200
2016/12/30,782.75,782.780029,770.409973,771.820007,771.820007,1770000
2017/1/3,778.809998,789.630005,775.799988,786.140015,786.140015,1657300
2017/1/4,788.359985,791.340027,783.159973,786.900024,786.900024,1073000
2017/1/5,786.080017,794.47998,785.02002,794.02002,794.02002,1335200
2017/1/6,795.26001,807.900024,792.203979,806.150024,806.150024,1640200
2017/1/9,806.400024,809.966003,802.830017,806.650024,806.650024,1272400
2017/1/10,807.859985,809.130005,803.51001,804.789978,804.789978,1176800
2017/1/11,805,808.150024,801.369995,807.909973,807.909973,1065900
2017/1/12,807.140015,807.390015,799.169983,806.359985,806.359985,1353100
2017/1/13,807.47998,811.223999,806.690002,807.880005,807.880005,1099200
2017/1/17,807.080017,807.140015,800.369995,804.609985,804.609985,1355800
2017/1/18,805.809998,806.205017,800.98999,806.070007,806.070007,1294400
2017/1/19,805.119995,809.47998,801.799988,802.174988,802.174988,919300
2017/1/20,806.909973,806.909973,801.690002,805.02002,805.02002,1670000
2017/1/23,807.25,820.869995,803.73999,819.309998,819.309998,1963600
2017/1/24,822.299988,825.900024,817.820984,823.869995,823.869995,1474000
2017/1/25,829.619995,835.77002,825.059998,835.669983,835.669983,1494500
2017/1/26,837.809998,838,827.01001,832.150024,832.150024,2973900
2017/1/27,834.710022,841.950012,820.440002,823.309998,823.309998,2965800
2017/1/30,814.659973,815.840027,799.799988,802.320007,802.320007,3246600
2017/1/31,796.859985,801.25,790.52002,796.789978,796.789978,2160600
2017/2/1,799.679993,801.190002,791.190002,795.695007,795.695007,2029700
2017/2/2,793.799988,802.700012,792,798.530029,798.530029,1532100
2017/2/3,802.98999,806,800.369995,801.48999,801.48999,1463400
2017/2/6,799.700012,801.669983,795.25,801.340027,801.340027,1184500
2017/2/7,803.98999,810.5,801.780029,806.969971,806.969971,1241200
2017/2/8,807,811.840027,803.190002,808.380005,808.380005,1155300
2017/2/9,809.51001,810.659973,804.539978,809.559998,809.559998,989700
2017/2/10,811.700012,815.25,809.780029,813.669983,813.669983,1135000
2017/2/13,816,820.958984,815.48999,819.23999,819.23999,1213300
2017/2/14,819,823,816,820.450012,820.450012,1053600
2017/2/15,819.359985,823,818.469971,818.97998,818.97998,1313600
2017/2/16,819.929993,824.400024,818.97998,824.159973,824.159973,1287600
2017/2/17,823.02002,828.070007,821.655029,828.070007,828.070007,1611000
2017/2/21,828.659973,833.450012,828.349976,831.659973,831.659973,1262300
2017/2/22,828.659973,833.25,828.640015,830.76001,830.76001,982900
2017/2/23,830.119995,832.460022,822.880005,831.330017,831.330017,1472800
2017/2/24,827.72998,829,824.200012,828.640015,828.640015,1392200
2017/2/27,824.549988,830.5,824,829.280029,829.280029,1101500
2017/2/28,825.609985,828.539978,820.200012,823.210022,823.210022,2260800
2017/3/1,828.849976,836.255005,827.26001,835.23999,835.23999,1496500
2017/3/2,833.849976,834.51001,829.640015,830.630005,830.630005,942500
2017/3/3,830.559998,831.359985,825.750977,829.080017,829.080017,896400
2017/3/6,826.950012,828.880005,822.400024,827.780029,827.780029,1109000
2017/3/7,827.400024,833.409973,826.52002,831.909973,831.909973,1037600
2017/3/8,833.51001,838.150024,831.789978,835.369995,835.369995,989800
2017/3/9,836,842,834.210022,838.679993,838.679993,1261500
2017/3/10,843.280029,844.909973,839.5,843.25,843.25,1704000
2017/3/13,844,848.684998,843.25,845.539978,845.539978,1223600
2017/3/14,843.640015,847.23999,840.799988,845.619995,845.619995,779900
2017/3/15,847.590027,848.630005,840.77002,847.200012,847.200012,1381500
2017/3/16,849.030029,850.849976,846.130005,848.780029,848.780029,977600
2017/3/17,851.609985,853.400024,847.109985,852.119995,852.119995,1712300
2017/3/20,850.01001,850.219971,845.150024,848.400024,848.400024,1231500
2017/3/21,851.400024,853.5,829.02002,830.460022,830.460022,2463500
2017/3/22,831.909973,835.549988,827.179993,829.590027,829.590027,1401500
2017/3/23,821,822.570007,812.257019,817.580017,817.580017,3487100
2017/3/24,820.080017,821.929993,808.890015,814.429993,814.429993,1981000
2017/3/27,806.950012,821.630005,803.369995,819.51001,819.51001,1894300
2017/3/28,820.409973,825.98999,814.026978,820.919983,820.919983,1620500
2017/3/29,825,832.765015,822.380005,831.409973,831.409973,1786300
2017/3/30,833.5,833.679993,829,831.5,831.5,1055300
2017/3/31,828.969971,831.640015,827.390015,829.559998,829.559998,1401900
2017/4/3,829.219971,840.849976,829.219971,838.549988,838.549988,1671500
2017/4/4,831.359985,835.179993,829.036011,834.570007,834.570007,1045400
2017/4/5,835.51001,842.450012,830.719971,831.409973,831.409973,1555300
2017/4/6,832.400024,836.390015,826.460022,827.880005,827.880005,1254400
2017/4/7,827.960022,828.484985,820.513,824.669983,824.669983,1057300
2017/4/10,825.390015,829.349976,823.77002,824.72998,824.72998,978900
2017/4/11,824.710022,827.427002,817.02002,823.349976,823.349976,1079700
2017/4/12,821.929993,826.659973,821.02002,824.320007,824.320007,900500
2017/4/13,822.140015,826.380005,821.440002,823.559998,823.559998,1122400
2017/4/17,825.01001,837.75,824.469971,837.169983,837.169983,895000
2017/4/18,834.219971,838.929993,832.710022,836.820007,836.820007,836700
2017/4/19,839.789978,842.219971,836.289978,838.210022,838.210022,954200
2017/4/20,841.440002,845.200012,839.320007,841.650024,841.650024,959000
2017/4/21,842.880005,843.880005,840.599976,843.190002,843.190002,1323600
2017/4/24,851.200012,863.450012,849.859985,862.76001,862.76001,1372500
2017/4/25,865,875,862.809998,872.299988,872.299988,1672000
2017/4/26,874.22998,876.049988,867.747986,871.72998,871.72998,1237200
2017/4/27,873.599976,875.400024,870.380005,874.25,874.25,2026800
2017/4/28,910.659973,916.849976,905.77002,905.960022,905.960022,3219500
2017/5/1,901.940002,915.679993,901.450012,912.570007,912.570007,2116000
2017/5/2,909.619995,920.77002,909.453003,916.440002,916.440002,1587200
2017/5/3,914.859985,928.099976,912.54303,927.039978,927.039978,1499500
2017/5/4,926.070007,935.929993,924.590027,931.659973,931.659973,1422100
